name,country_code,country,year,p1,p2,p3,p4,p5,p6,total,abs_rank,rel_rank(%),prize
Qiming Xu,CHN,People's Republic of China,2024,7,7,7,7,7,0,35,5,99.34,Gold medal
Yuxing Ye,CHN,People's Republic of China,2024,7,7,2,7,0,0,23,125,79.61,Silver medal
Zhicheng Jiang,CHN,People's Republic of China,2023,7,7,7,7,7,0,35,28,95.62,Gold medal
Xingjian Liang,CHN,People's Republic of China,2023,7,7,7,7,7,6,41,6,99.19,Gold medal
Haojia Shi,CHN,People's Republic of China,2023,7,7,7,7,7,7,42,1,100.0,Gold medal
Qiao Sun,CHN,People's Republic of China,2023,7,7,7,7,7,4,39,11,98.38,Gold medal
Chunji Wang,CHN,People's Republic of China,2023,7,7,7,7,7,7,42,1,100.0,Gold medal
Xinliang Zhang,CHN,People's Republic of China,2023,7,7,7,7,7,6,41,6,99.19,Gold medal
Cheng Jiang,CHN,People's Republic of China,2022,7,7,7,7,7,7,42,1,100.0,Gold medal
Yubo Liao,CHN,People's Republic of China,2022,7,7,7,7,7,7,42,1,100.0,Gold medal
Jiayu Liu,CHN,People's Republic of China,2022,7,7,7,7,7,7,42,1,100.0,Gold medal
Xiaoyu Qu,CHN,People's Republic of China,2022,7,7,7,7,7,7,42,1,100.0,Gold medal
Yiran Zhang,CHN,People's Republic of China,2022,7,7,7,7,7,7,42,1,100.0,Gold medal
Zhicheng Zhang,CHN,People's Republic of China,2022,7,7,7,7,7,7,42,1,100.0,Gold medal
Ruitao Chen,CHN,People's Republic of China,2021,7,2,1,7,7,7,31,17,97.41,Gold medal
Chenxu Feng,CHN,People's Republic of China,2021,7,2,1,7,7,7,31,17,97.41,Gold medal
Yebo Peng,CHN,People's Republic of China,2021,7,1,7,7,7,7,36,3,99.68,Gold medal
Yichuan Wang,CHN,People's Republic of China,2021,7,7,7,7,7,7,42,1,100.0,Gold medal
Chen Wei,CHN,People's Republic of China,2021,7,1,7,7,7,7,36,3,99.68,Gold medal
Yuxing Xia,CHN,People's Republic of China,2021,7,3,1,7,7,7,32,15,97.73,Gold medal
Xinmiao Han,CHN,People's Republic of China,2020,7,7,7,7,7,5,40,2,99.84,Gold medal
Jinmin Li,CHN,People's Republic of China,2020,7,7,7,7,7,7,42,1,100.0,Gold medal
Jingxun Liang,CHN,People's Republic of China,2020,7,7,7,7,7,1,36,4,99.51,Gold medal
Rui Rao,CHN,People's Republic of China,2020,7,7,3,7,7,0,31,43,93.17,Gold medal
Binwei Yan,CHN,People's Republic of China,2020,7,7,0,7,7,1,29,59,90.57,Silver medal
Jia Yi,CHN,People's Republic of China,2020,7,3,7,7,7,6,37,3,99.67,Gold medal
Mingyang Deng,CHN,People's Republic of China,2019,7,6,7,7,7,1,35,18,97.26,Gold medal
Sulin Hu,CHN,People's Republic of China,2019,7,7,4,7,7,7,39,10,98.55,Gold medal
Jiajun Huang,CHN,People's Republic of China,2019,6,7,1,6,7,7,34,28,95.65,Gold medal
Baiting Xie,CHN,People's Republic of China,2019,7,7,7,7,7,7,42,1,100.0,Gold medal
Ranfeng Yu,CHN,People's Republic of China,2019,6,7,1,7,7,7,35,18,97.26,Gold medal
Zhizhen Yuan,CHN,People's Republic of China,2019,7,7,7,7,7,7,42,1,100.0,Gold medal
Yiyi Chen,CHN,People's Republic of China,2018,7,7,2,7,7,7,37,9,98.65,Gold medal
Yixiao Li,CHN,People's Republic of China,2018,7,7,7,7,7,0,35,12,98.15,Gold medal
Zexuan Ouyang,CHN,People's Republic of China,2018,7,7,7,7,7,1,36,10,98.48,Gold medal
Zeyu Wang,CHN,People's Republic of China,2018,7,2,1,7,7,7,31,34,94.44,Gold medal
Rui Yao,CHN,People's Republic of China,2018,7,7,0,7,7,2,30,49,91.91,Silver medal
Qi Ye,CHN,People's Republic of China,2018,7,7,0,7,7,2,30,49,91.91,Silver medal
Tiancheng He,CHN,People's Republic of China,2017,7,4,0,7,0,7,25,36,94.3,Gold medal
Yuanyang Jiang,CHN,People's Republic of China,2017,7,2,0,7,2,7,25,36,94.3,Gold medal
Qiuyu Ren,CHN,People's Republic of China,2017,7,7,0,7,7,4,32,4,99.51,Gold medal
Jinze Wu,CHN,People's Republic of China,2017,7,4,0,7,7,1,26,30,95.28,Gold medal
Lu Zhang,CHN,People's Republic of China,2017,7,7,0,7,2,5,28,14,97.88,Gold medal
Xingjian Zhou,CHN,People's Republic of China,2017,7,1,0,7,1,7,23,64,89.74,Silver medal
Zeyu Jia,CHN,People's Republic of China,2016,7,7,0,7,7,3,31,23,96.34,Gold medal
Lingjie Mei,CHN,People's Republic of China,2016,7,7,6,7,7,7,41,7,99.0,Gold medal
Zhengqin Song,CHN,People's Republic of China,2016,7,2,0,7,7,3,26,68,88.85,Silver medal
Yixuan Wang,CHN,People's Republic of China,2016,7,0,0,7,7,7,28,45,92.68,Silver medal
Yuan Yang,CHN,People's Republic of China,2016,7,7,7,7,7,7,42,1,100.0,Gold medal
Shengtong Zhang,CHN,People's Republic of China,2016,7,7,7,7,7,1,36,9,98.67,Gold medal
Jiyang Gao,CHN,People's Republic of China,2015,7,7,1,7,1,7,30,17,97.22,Gold medal
Jiafan He,CHN,People's Republic of China,2015,7,7,1,7,2,7,31,10,98.44,Gold medal
Nuozhou Wang,CHN,People's Republic of China,2015,7,2,1,7,7,7,31,10,98.44,Gold medal
Zheng Wang,CHN,People's Republic of China,2015,7,6,1,7,2,0,23,58,90.1,Silver medal
Changzhi Xie,CHN,People's Republic of China,2015,7,7,1,7,3,0,25,40,93.23,Silver medal
Chenjie Yu,CHN,People's Republic of China,2015,7,7,7,7,7,6,41,2,99.83,Gold medal
Lantian Chen,CHN,People's Republic of China,2014,7,7,1,7,7,0,29,40,93.02,Gold medal
Jiyang Gao,CHN,People's Republic of China,2014,7,7,7,7,7,7,42,1,100.0,Gold medal
Yishan Huang,CHN,People's Republic of China,2014,7,7,1,7,0,0,22,124,78.0,Silver medal
Hongming Pu,CHN,People's Republic of China,2014,7,7,7,7,7,3,38,7,98.93,Gold medal
Renrui Qi,CHN,People's Republic of China,2014,7,7,0,7,7,7,35,15,97.5,Gold medal
Yunkun Zhou,CHN,People's Republic of China,2014,7,7,0,7,7,7,35,15,97.5,Gold medal
Chao Gu,CHN,People's Republic of China,2013,7,3,7,7,7,0,31,34,93.73,Gold medal
Yuxuan Liao,CHN,People's Republic of China,2013,7,7,0,6,7,6,33,26,95.25,Gold medal
Xiao Liu,CHN,People's Republic of China,2013,7,7,7,7,7,0,35,10,98.29,Gold medal
Yutao Liu,CHN,People's Republic of China,2013,7,7,7,7,7,6,41,1,100.0,Gold medal
Jiading Rao,CHN,People's Republic of China,2013,7,7,2,7,7,0,30,46,91.44,Silver medal
Lingfu Zhang,CHN,People's Republic of China,2013,7,7,7,7,7,3,38,5,99.24,Gold medal
Jingwen Chen,CHN,People's Republic of China,2012,7,7,0,7,7,7,35,11,98.17,Gold medal
Yutao Liu,CHN,People's Republic of China,2012,7,5,0,2,3,1,18,163,70.33,Bronze medal
Yiyang She,CHN,People's Republic of China,2012,7,7,3,7,7,7,38,4,99.45,Gold medal
Haoyu Wang,CHN,People's Republic of China,2012,7,7,3,6,7,7,37,8,98.72,Gold medal
Hao Wu,CHN,People's Republic of China,2012,7,7,5,2,7,6,34,15,97.44,Gold medal
Hao Zuo,CHN,People's Republic of China,2012,7,7,3,7,7,2,33,17,97.07,Gold medal
Lin Chen,CHN,People's Republic of China,2011,7,3,7,7,7,7,38,3,99.64,Gold medal
Zhaorong Jin,CHN,People's Republic of China,2011,7,1,7,7,7,0,29,25,95.73,Gold medal
Zichao Long,CHN,People's Republic of China,2011,7,1,7,7,7,1,30,14,97.69,Gold medal
Mengxi Wu,CHN,People's Republic of China,2011,7,0,7,7,7,0,28,39,93.24,Gold medal
Bowen Yao,CHN,People's Republic of China,2011,7,1,7,7,7,1,30,14,97.69,Gold medal
Tianyou Zhou,CHN,People's Republic of China,2011,7,6,7,7,7,0,34,10,98.4,Gold medal
Li Lai,CHN,People's Republic of China,2010,7,7,0,7,7,0,28,27,95.01,Gold medal
Jialun Li,CHN,People's Republic of China,2010,7,7,7,7,1,7,36,4,99.42,Gold medal
Zipei Nie,CHN,People's Republic of China,2010,7,7,7,7,7,7,42,1,100.0,Gold medal
Jun Su,CHN,People's Republic of China,2010,6,7,2,7,0,5,27,42,92.13,Gold medal
Yikang Xiao,CHN,People's Republic of China,2010,7,7,0,7,7,6,34,9,98.46,Gold medal
Min Zhang,CHN,People's Republic of China,2010,7,7,7,7,2,0,30,16,97.12,Gold medal
Jiaoyang Huang,CHN,People's Republic of China,2009,7,7,7,7,7,1,36,12,98.05,Gold medal
Bo Lin,CHN,People's Republic of China,2009,7,7,7,7,7,0,35,14,97.7,Gold medal
Dongyi Wei,CHN,People's Republic of China,2009,7,7,7,7,7,7,42,1,100.0,Gold medal
Yanlin Zhao,CHN,People's Republic of China,2009,7,7,7,7,7,3,38,8,98.76,Gold medal
Fan Zheng,CHN,People's Republic of China,2009,7,7,7,7,7,0,35,14,97.7,Gold medal
Zhiwei Zheng,CHN,People's Republic of China,2009,7,7,7,7,7,0,35,14,97.7,Gold medal
Zhuo Chen,CHN,People's Republic of China,2008,7,7,7,7,7,0,35,12,97.94,Gold medal
Xiaosheng Mu,CHN,People's Republic of China,2008,7,7,7,7,7,7,42,1,100.0,Gold medal
Dongyi Wei,CHN,People's Republic of China,2008,7,7,7,7,7,7,42,1,100.0,Gold medal
Tianqi Wu,CHN,People's Republic of China,2008,7,7,7,7,0,0,28,64,88.2,Silver medal
Cheng Zhang,CHN,People's Republic of China,2008,7,7,7,7,7,0,35,12,97.94,Gold medal
Ruixiang Zhang,CHN,People's Republic of China,2008,7,7,7,7,7,0,35,12,97.94,Gold medal
Lei Fu,CHN,People's Republic of China,2007,7,7,2,7,7,0,30,19,96.53,Gold medal
Han Hu,CHN,People's Republic of China,2007,3,7,3,7,7,0,27,55,89.6,Silver medal
Tengyu Ma,CHN,People's Republic of China,2007,5,7,3,6,7,0,28,40,92.49,Silver medal
Caili Shen,CHN,People's Republic of China,2007,7,7,7,7,7,1,36,2,99.81,Gold medal
Xuan Wang,CHN,People's Republic of China,2007,7,7,1,7,7,1,30,19,96.53,Gold medal
Ben Yang,CHN,People's Republic of China,2007,7,7,1,7,7,1,30,19,96.53,Gold medal
Yu Deng,CHN,People's Republic of China,2006,7,7,7,7,7,0,35,6,98.99,Gold medal
Wenying Gan,CHN,People's Republic of China,2006,7,7,7,7,3,0,31,13,97.59,Gold medal
Long Jin,CHN,People's Republic of China,2006,7,7,7,7,7,0,35,6,98.99,Gold medal
Zhiyu Liu,CHN,People's Republic of China,2006,7,7,7,7,7,7,42,1,100.0,Gold medal
Qingchun Ren,CHN,People's Republic of China,2006,7,7,0,6,7,7,34,11,97.99,Gold medal
Caili Shen,CHN,People's Republic of China,2006,7,7,7,7,7,2,37,4,99.4,Gold medal
Hangsheng Diao,CHN,People's Republic of China,2005,7,7,7,7,7,7,42,1,100.0,Gold medal
Jiayin Kang,CHN,People's Republic of China,2005,0,7,7,7,7,7,35,35,93.36,Gold medal
Ye Luo,CHN,People's Republic of China,2005,7,7,7,7,7,7,42,1,100.0,Gold medal
Qingchun Ren,CHN,People's Republic of China,2005,7,7,7,7,7,7,42,1,100.0,Gold medal
Xuancheng Shao,CHN,People's Republic of China,2005,7,7,7,7,7,7,42,1,100.0,Gold medal
Tongyuan Zhao,CHN,People's Republic of China,2005,4,7,0,7,7,7,32,47,91.02,Silver medal
Zhiyi Huang,CHN,People's Republic of China,2004,6,7,7,7,7,7,41,5,99.18,Gold medal
Xianying Li,CHN,People's Republic of China,2004,7,7,2,7,7,7,37,12,97.73,Gold medal
Yuncheng Lin,CHN,People's Republic of China,2004,6,7,1,7,7,7,35,20,96.08,Gold medal
Minyu Peng,CHN,People's Republic of China,2004,6,6,4,7,5,7,35,20,96.08,Gold medal
Shiwu Yang,CHN,People's Republic of China,2004,6,7,3,7,4,7,34,28,94.43,Gold medal
Qingsan Zhu,CHN,People's Republic of China,2004,6,7,4,7,7,7,38,9,98.35,Gold medal
Jiacong Fang,CHN,People's Republic of China,2003,7,7,7,7,7,0,35,16,96.71,Gold medal
Yunhao Fu,CHN,People's Republic of China,2003,7,7,7,7,7,7,42,1,100.0,Gold medal
Xin Wan,CHN,People's Republic of China,2003,7,5,0,7,7,7,33,20,95.83,Gold medal
Wei Wang,CHN,People's Republic of China,2003,7,7,7,7,7,2,37,9,98.25,Gold medal
Zhen Xiang,CHN,People's Republic of China,2003,7,7,7,7,7,1,36,12,97.59,Gold medal
You Zhou,CHN,People's Republic of China,2003,7,7,0,7,7,0,28,38,91.89,Silver medal
Wenjie Fu,CHN,People's Republic of China,2002,6,7,1,7,7,2,30,24,95.19,Gold medal
Yunhao Fu,CHN,People's Republic of China,2002,7,7,7,7,7,7,42,1,100.0,Gold medal
Bin Wang,CHN,People's Republic of China,2002,7,6,7,7,7,2,36,4,99.37,Gold medal
Botong Wang,CHN,People's Republic of China,2002,7,7,7,7,7,7,42,1,100.0,Gold medal
Wei Xiao,CHN,People's Republic of China,2002,7,7,1,7,7,1,30,24,95.19,Gold medal
Xianyi Zeng,CHN,People's Republic of China,2002,7,7,1,7,7,3,32,15,97.07,Gold medal
Jianxin Chen,CHN,People's Republic of China,2001,7,5,0,7,7,7,33,21,95.76,Gold medal
Feng Qu,CHN,People's Republic of China,2001,7,7,0,7,7,7,35,17,96.61,Gold medal
Liang Xiao,CHN,People's Republic of China,2001,7,7,7,7,7,7,42,1,100.0,Gold medal
Jun Yu,CHN,People's Republic of China,2001,7,7,2,7,7,7,37,7,98.73,Gold medal
Zhiqiang Zhang,CHN,People's Republic of China,2001,7,7,7,7,7,7,42,1,100.0,Gold medal
Hui Zheng,CHN,People's Republic of China,2001,7,7,7,7,7,1,36,10,98.09,Gold medal
Xin Li,CHN,People's Republic of China,2000,7,7,3,7,7,7,38,7,98.7,Gold medal
Zhipeng Liu,CHN,People's Republic of China,2000,7,7,4,7,7,7,39,5,99.13,Gold medal
Zhongtao Wu,CHN,People's Republic of China,2000,7,7,2,6,7,2,31,28,94.13,Gold medal
Xinyi Yuan,CHN,People's Republic of China,2000,7,7,1,6,7,4,32,25,94.78,Gold medal
Zhiwei Yun,CHN,People's Republic of China,2000,7,7,7,7,7,7,42,1,100.0,Gold medal
Qihui Zhu,CHN,People's Republic of China,2000,7,7,2,6,7,7,36,12,97.61,Gold medal
Xiaolong Cheng,CHN,People's Republic of China,1999,7,7,1,7,7,3,32,20,95.77,Gold medal
Wenbin Kong,CHN,People's Republic of China,1999,5,7,1,7,6,1,27,39,91.54,Silver medal
Xin Li,CHN,People's Republic of China,1999,7,7,7,7,7,1,36,6,98.89,Gold medal
Ruochuan Liu,CHN,People's Republic of China,1999,7,6,1,7,7,7,35,13,97.33,Gold medal
Zhenhua Qu,CHN,People's Republic of China,1999,7,7,1,7,6,2,30,28,93.99,Gold medal
Qihui Zhu,CHN,People's Republic of China,1999,7,7,0,7,0,1,22,70,84.63,Silver medal
Jinpeng An,CHN,People's Republic of China,1997,7,7,7,6,7,3,37,22,95.42,Gold medal
Jiarui Han,CHN,People's Republic of China,1997,7,7,7,7,7,3,38,15,96.95,Gold medal
Yi Ni,CHN,People's Republic of China,1997,7,7,7,7,6,4,38,15,96.95,Gold medal
Xiaoming Sun,CHN,People's Republic of China,1997,7,7,7,4,7,5,37,22,95.42,Gold medal
Changjin Zheng,CHN,People's Republic of China,1997,4,7,7,7,7,3,35,32,93.25,Gold medal
Jin Zou,CHN,People's Republic of China,1997,7,7,3,7,7,7,38,15,96.95,Gold medal
Kaihua Cai,CHN,People's Republic of China,1996,7,7,3,5,0,1,23,62,85.58,Silver medal
Huayi Chen,CHN,People's Republic of China,1996,4,7,7,7,0,7,32,19,95.74,Gold medal
Xuhua He,CHN,People's Republic of China,1996,7,7,7,7,0,2,30,25,94.33,Gold medal
Fu Liu,CHN,People's Republic of China,1996,4,7,1,5,0,1,18,111,74.0,Bronze medal
Lie Wang,CHN,People's Republic of China,1996,5,7,7,7,0,1,27,36,91.73,Silver medal
Jun Yan,CHN,People's Republic of China,1996,7,7,7,5,0,4,30,25,94.33,Gold medal
Cheng Chang,CHN,People's Republic of China,1995,7,7,7,7,7,7,42,1,100.0,Gold medal
Yizhou Lin,CHN,People's Republic of China,1995,7,7,7,5,7,3,36,31,92.7,Silver medal
Song Liu,CHN,People's Republic of China,1995,7,7,7,7,7,7,42,1,100.0,Gold medal
Haidong Wang,CHN,People's Republic of China,1995,7,7,7,3,7,7,38,20,95.38,Gold medal
Yijun Yao,CHN,People's Republic of China,1995,7,7,5,7,7,3,36,31,92.7,Silver medal
Chenchang Zhu,CHN,People's Republic of China,1995,7,7,7,7,7,7,42,1,100.0,Gold medal
Ting Li,CHN,People's Republic of China,1994,7,7,7,7,6,0,34,58,85.16,Silver medal
Jianbo Peng,CHN,People's Republic of China,1994,7,7,7,7,7,7,42,1,100.0,Gold medal
Haidong Wang,CHN,People's Republic of China,1994,7,7,7,7,7,0,35,49,87.5,Silver medal
Chenhai Xi,CHN,People's Republic of China,1994,7,7,7,7,6,0,34,58,85.16,Silver medal
Jiangang Yao,CHN,People's Republic of China,1994,7,7,7,7,7,7,42,1,100.0,Gold medal
Jian Zhang,CHN,People's Republic of China,1994,7,7,7,7,7,7,42,1,100.0,Gold medal
Jiong Feng,CHN,People's Republic of China,1993,6,7,6,4,5,3,31,25,94.17,Gold medal
Yang Liu,CHN,People's Republic of China,1993,1,7,7,7,6,7,35,10,97.82,Gold medal
Ke Yang,CHN,People's Republic of China,1993,7,7,1,7,7,7,36,8,98.3,Gold medal
Hanhui Yuan,CHN,People's Republic of China,1993,7,7,7,7,7,2,37,4,99.27,Gold medal
Lei Zhang,CHN,People's Republic of China,1993,7,7,6,7,7,0,34,12,97.33,Gold medal
Hong Zhou,CHN,People's Republic of China,1993,7,7,7,7,7,7,42,1,100.0,Gold medal
Simai He,CHN,People's Republic of China,1992,7,7,7,5,7,7,40,6,98.44,Gold medal
Wei Luo,CHN,People's Republic of China,1992,7,7,7,7,7,7,42,1,100.0,Gold medal
Kai Shen,CHN,People's Republic of China,1992,7,7,7,7,7,7,42,1,100.0,Gold medal
Baozhong Yang,CHN,People's Republic of China,1992,7,7,7,7,7,7,42,1,100.0,Gold medal
Yin Zhang,CHN,People's Republic of China,1992,7,7,7,6,7,7,41,5,98.75,Gold medal
Hong Zhou,CHN,People's Republic of China,1992,6,7,7,6,0,7,33,17,95.02,Gold medal
Zaoyang Guo,CHN,People's Republic of China,1991,7,7,4,7,7,4,36,39,88.01,Silver medal
Tongwei Liu,CHN,People's Republic of China,1991,7,7,3,7,7,1,32,61,81.07,Silver medal
Wei Luo,CHN,People's Republic of China,1991,7,7,7,7,7,7,42,1,100.0,Gold medal
Shaoyu Wang,CHN,People's Republic of China,1991,7,7,5,7,7,7,40,14,95.9,Gold medal
Song Wang,CHN,People's Republic of China,1991,7,7,5,7,7,7,40,14,95.9,Gold medal
Lizhao Zhang,CHN,People's Republic of China,1991,7,7,7,7,7,6,41,10,97.16,Gold medal
Chao Ku,CHN,People's Republic of China,1990,7,7,6,7,5,1,33,24,92.51,Silver medal
Jianhua Wang,CHN,People's Republic of China,1990,7,7,7,7,7,7,42,1,100.0,Gold medal
Song Wang,CHN,People's Republic of China,1990,7,7,6,7,7,7,41,5,98.7,Gold medal
Jialian Yu,CHN,People's Republic of China,1990,7,7,2,7,7,6,36,14,95.77,Gold medal
Zhaohui Zhang,CHN,People's Republic of China,1990,7,7,7,7,7,1,36,14,95.77,Gold medal
Tong Zhou,CHN,People's Republic of China,1990,7,7,7,7,7,7,42,1,100.0,Gold medal
Xiaoming Huo,CHN,People's Republic of China,1989,6,7,7,7,7,7,41,11,96.55,Gold medal
Buxing Jiang,CHN,People's Republic of China,1989,6,7,7,7,7,7,41,11,96.55,Gold medal
Huazhang Luo,CHN,People's Republic of China,1989,7,7,7,7,7,7,42,1,100.0,Gold medal
Ruoxi Tang,CHN,People's Republic of China,1989,7,7,2,7,7,7,37,21,93.1,Silver medal
Huafei Yan,CHN,People's Republic of China,1989,7,7,7,7,7,0,35,32,89.31,Silver medal
Yang Yu,CHN,People's Republic of China,1989,7,7,7,6,7,7,41,11,96.55,Gold medal
Xi Chen,CHN,People's Republic of China,1988,7,7,6,7,7,7,41,6,98.13,Gold medal
Hongyu He,CHN,People's Republic of China,1988,7,7,7,7,7,7,42,1,100.0,Gold medal
Jianmei Wang,CHN,People's Republic of China,1988,7,6,1,7,7,1,29,31,88.76,Silver medal
Guoheng Wei,CHN,People's Republic of China,1988,7,7,1,7,7,1,30,25,91.01,Silver medal
Yuhan Zha,CHN,People's Republic of China,1988,7,7,1,7,7,0,29,31,88.76,Silver medal
Gang Zou,CHN,People's Republic of China,1988,7,7,1,7,7,1,30,25,91.01,Silver medal
Xia Gao,CHN,People's Republic of China,1987,7,7,0,7,7,1,29,72,69.92,Bronze medal
Jianxun He,CHN,People's Republic of China,1987,2,7,0,5,5,0,19,113,52.54,Bronze medal
Qiang Lin,CHN,People's Republic of China,1987,1,7,7,5,7,7,34,51,78.81,Silver medal
Xiong Liu,CHN,People's Republic of China,1987,7,7,7,7,7,7,42,1,100.0,Gold medal
Zigang Pan,CHN,People's Republic of China,1987,7,7,6,7,7,0,34,51,78.81,Silver medal
Jun Teng,CHN,People's Republic of China,1987,7,7,7,7,7,7,42,1,100.0,Gold medal
Weimin Fang,CHN,People's Republic of China,1986,7,7,7,7,6,7,41,4,98.56,Gold medal
Qin Jing,CHN,People's Republic of China,1986,7,7,0,0,5,7,26,54,74.64,Silver medal
Pingli Li,CHN,People's Republic of China,1986,7,7,3,7,6,7,37,10,95.69,Gold medal
Qiang Lin,CHN,People's Republic of China,1986,1,7,0,1,6,4,19,87,58.85,Bronze medal
Jian Shen,CHN,People's Republic of China,1986,1,7,0,7,0,0,15,110,47.85,""
Hao Zhang,CHN,People's Republic of China,1986,7,7,4,7,7,7,39,8,96.65,Gold medal
Feng Wang,CHN,People's Republic of China,1985,1,7,0,2,0,0,10,129,38.46,""
Sihao Wu,CHN,People's Republic of China,1985,7,7,0,2,0,0,16,83,60.58,Bronze medal
Leonard Kerem Kottisch,GER,Germany,2024,7,1,2,7,0,0,17,252,58.72,Bronze medal
Lars Krabbenhöft,GER,Germany,2024,7,7,0,7,0,0,21,182,70.23,Bronze medal
Christian Kraftsik,GER,Germany,2024,7,3,0,2,7,0,19,227,62.83,Bronze medal
Vera Lavrova,GER,Germany,2024,5,7,0,7,5,0,24,100,83.72,Silver medal
Johannes Raitz von Frentz,GER,Germany,2024,7,7,0,2,0,0,16,283,53.62,Bronze medal
Paul Jakob Schmidt,GER,Germany,2024,7,2,0,7,7,0,23,125,79.61,Silver medal
Florian Elbrandt,GER,Germany,2023,7,5,1,7,3,0,23,183,70.5,Bronze medal
Juri Kaganskiy,GER,Germany,2023,7,7,7,7,3,0,31,55,91.25,Silver medal
Leonard  Kottisch,GER,Germany,2023,7,7,1,1,7,0,23,183,70.5,Bronze medal
Boldizsár Mann,GER,Germany,2023,7,7,1,7,7,0,29,82,86.87,Silver medal
Paul Jakob Schmidt,GER,Germany,2023,7,7,1,7,7,0,29,82,86.87,Silver medal
Philipp  Siegert,GER,Germany,2023,7,5,0,7,2,0,21,237,61.75,Bronze medal
Dmitrii Galatenko,GER,Germany,2022,7,7,3,7,7,2,33,45,92.52,Silver medal
Juri Kaganskiy,GER,Germany,2022,7,7,2,7,5,5,33,45,92.52,Silver medal
Timo Lörke,GER,Germany,2022,7,7,1,7,6,0,28,146,75.34,Bronze medal
Boldizsár Mann,GER,Germany,2022,7,7,1,7,7,0,29,112,81.12,Silver medal
Samuel Meyer,GER,Germany,2022,7,7,7,7,7,4,39,14,97.79,Gold medal
Christian Noaghiu,GER,Germany,2022,7,7,2,7,7,0,30,84,85.88,Silver medal
Lennart Christian Grabbel,GER,Germany,2021,7,7,0,7,7,5,33,13,98.06,Gold medal
Maximilian Hauck,GER,Germany,2021,6,1,0,7,0,0,14,218,64.89,Bronze medal
Juri Kaganskiy,GER,Germany,2021,7,0,1,7,7,0,22,63,89.97,Silver medal
Timo Lörke,GER,Germany,2021,7,0,1,7,7,0,22,63,89.97,Silver medal
Samuel Meyer,GER,Germany,2021,7,7,0,7,7,0,28,32,94.98,Gold medal
Julian Robin Völlmecke,GER,Germany,2021,7,1,0,2,0,0,10,319,48.54,Honourable mention
Tobias Bauer,GER,Germany,2020,7,2,0,7,7,1,24,140,77.4,Silver medal
Hossein Gholizadeh,GER,Germany,2020,7,6,0,7,7,0,27,114,81.63,Silver medal
Lennart Christian Grabbel,GER,Germany,2020,7,7,0,7,7,1,29,59,90.57,Silver medal
Maximilian Hauck,GER,Germany,2020,2,6,0,7,0,0,15,294,52.36,Bronze medal
Juri Kaganskiy,GER,Germany,2020,7,2,0,6,7,0,22,181,70.73,Bronze medal
Christian Robert Noaghiu,GER,Germany,2020,7,2,0,7,7,0,23,162,73.82,Bronze medal
Maximilian Göbel,GER,Germany,2019,7,0,0,1,7,0,15,326,47.58,Honourable mention
Lukas Finn Groß,GER,Germany,2019,7,0,0,5,7,0,19,256,58.87,Bronze medal
Maximilian Keßler,GER,Germany,2019,7,2,0,7,7,0,23,147,76.45,Bronze medal
Philip McKeever,GER,Germany,2019,6,0,0,6,7,0,19,256,58.87,Bronze medal
Paul Schmitt,GER,Germany,2019,2,0,0,3,7,0,12,376,39.52,Honourable mention
Jonas Walter,GER,Germany,2019,7,7,3,7,7,7,38,11,98.39,Gold medal
Alexander Armbruster,GER,Germany,2018,7,5,0,7,2,0,21,193,67.62,Bronze medal
Christoph Börger,GER,Germany,2018,7,2,0,7,7,2,25,131,78.08,Silver medal
Christoph Fronhöfer,GER,Germany,2018,0,1,0,7,1,0,9,391,34.23,Honourable mention
Lukas Finn Groß,GER,Germany,2018,7,7,0,7,7,0,28,87,85.5,Silver medal
Jan Holstermann,GER,Germany,2018,2,1,0,7,0,0,10,368,38.11,Honourable mention
Jonas Walter,GER,Germany,2018,7,7,3,7,7,7,38,6,99.16,Gold medal
Alexander Armbruster,GER,Germany,2017,7,3,0,7,7,0,24,49,92.18,Silver medal
Martin Drees,GER,Germany,2017,7,3,0,7,0,0,17,188,69.54,Bronze medal
Branko Juran,GER,Germany,2017,6,3,0,1,7,0,17,188,69.54,Bronze medal
Sebastian Meyer,GER,Germany,2017,7,1,0,7,0,0,15,292,52.61,Honourable mention
Manfred Paul,GER,Germany,2017,7,2,0,5,1,0,15,292,52.61,Honourable mention
Jonas Walter,GER,Germany,2017,7,4,0,7,0,0,18,139,77.52,Bronze medal
Susanne Armbruster,GER,Germany,2016,7,2,0,7,0,0,16,253,58.07,Bronze medal
Martin Drees,GER,Germany,2016,7,6,0,7,7,0,27,63,89.68,Silver medal
Branko Juran,GER,Germany,2016,5,7,0,7,0,0,19,184,69.55,Bronze medal
Sebastian Meyer,GER,Germany,2016,7,7,0,7,1,3,25,78,87.19,Silver medal
Manfred Paul,GER,Germany,2016,7,7,0,7,0,0,21,146,75.87,Bronze medal
Ferdinand Wagner,GER,Germany,2016,7,0,7,7,2,0,23,114,81.2,Silver medal
Christian Bernert,GER,Germany,2015,7,3,1,7,3,0,21,88,84.9,Silver medal
Nicolas Köcher,GER,Germany,2015,1,0,0,1,1,3,6,431,25.35,""
Sebastian Meyer,GER,Germany,2015,7,0,0,4,1,5,17,160,72.4,Bronze medal
Adrian Riekert,GER,Germany,2015,7,7,1,7,3,0,25,40,93.23,Silver medal
Jörn Stöhler,GER,Germany,2015,7,3,0,7,0,0,17,160,72.4,Bronze medal
