name,country_code,country,year,p1,p2,p3,p4,p5,p6,total,abs_rank,rel_rank(%),prize
Iasen P. Siderov,BGR,Bulgaria,1994,7,7,7,7,7,7,42,1,100.0,Gold medal
Borislav Deianov,BGR,Bulgaria,1993,7,2,1,5,7,7,29,36,91.5,Silver medal
Mladen Dimitrov,BGR,Bulgaria,1993,0,7,7,7,7,5,33,14,96.84,Gold medal
Valentin Dimitrov,BGR,Bulgaria,1993,7,6,3,3,7,2,28,39,90.78,Silver medal
Augustin M. Marinov,BGR,Bulgaria,1993,7,5,0,3,7,6,28,39,90.78,Silver medal
Nikolay Nikolov,BGR,Bulgaria,1993,1,7,7,7,7,2,31,25,94.17,Gold medal
Iasen P. Siderov,BGR,Bulgaria,1993,2,2,5,7,7,6,29,36,91.5,Silver medal
Mladen Dimitrov,BGR,Bulgaria,1992,7,1,7,7,1,3,26,57,82.55,Silver medal
Augustin M. Marinov,BGR,Bulgaria,1992,6,7,0,4,0,3,20,100,69.16,Bronze medal
Nikolay Nikolov,BGR,Bulgaria,1992,7,1,7,7,7,4,33,17,95.02,Gold medal
Iasen P. Siderov,BGR,Bulgaria,1992,7,3,0,7,0,3,20,100,69.16,Bronze medal
Ivan S. Velev,BGR,Bulgaria,1992,1,1,0,3,1,4,10,192,40.5,""
Jivko D. Velev,BGR,Bulgaria,1992,7,1,0,7,0,3,18,115,64.49,Bronze medal
Boshko Nentchev Bakalov,BGR,Bulgaria,1991,7,7,3,7,7,5,36,39,88.01,Silver medal
Dantcho Petzov Danev,BGR,Bulgaria,1991,7,7,6,7,7,1,35,47,85.49,Silver medal
Iavor Kolev Kostadinov,BGR,Bulgaria,1991,7,7,2,6,6,2,30,72,77.6,Bronze medal
Georgi Shivkov Nedev,BGR,Bulgaria,1991,7,7,4,5,7,0,30,72,77.6,Bronze medal
Milen Iakimov Tchernev,BGR,Bulgaria,1991,7,7,4,2,7,7,34,54,83.28,Silver medal
Veselin Vladislavov Vavrek,BGR,Bulgaria,1991,7,7,3,3,7,0,27,90,71.92,Bronze medal
T. Asparuhov,BGR,Bulgaria,1990,7,7,6,7,7,4,38,11,96.74,Gold medal
Petev Dimov,BGR,Bulgaria,1990,6,7,3,5,7,1,29,37,88.27,Silver medal
Plamen Koev,BGR,Bulgaria,1990,3,3,7,1,7,2,23,71,77.2,Silver medal
Stoykov Kostov,BGR,Bulgaria,1990,7,2,4,1,2,0,16,139,55.05,Bronze medal
Georgi Shivkov Nedev,BGR,Bulgaria,1990,6,7,1,1,7,1,23,71,77.2,Silver medal
Emanuil Todorov,BGR,Bulgaria,1990,7,7,2,2,4,1,23,71,77.2,Silver medal
Kamen Alexiev,BGR,Bulgaria,1989,2,7,7,7,7,6,36,28,90.69,Silver medal
Dobromir Dimitrov,BGR,Bulgaria,1989,0,7,5,7,7,7,33,48,83.79,Silver medal
Dimitar Grancharov,BGR,Bulgaria,1989,2,7,0,7,7,3,26,98,66.55,Bronze medal
Plamen Iliev,BGR,Bulgaria,1989,0,7,0,7,7,5,26,98,66.55,Bronze medal
Nikolai Stoev,BGR,Bulgaria,1989,7,7,0,7,7,7,35,32,89.31,Silver medal
Emanuil Todorov,BGR,Bulgaria,1989,7,6,6,7,7,6,39,18,94.14,Gold medal
Kamen Alexiev,BGR,Bulgaria,1988,7,3,1,0,7,0,18,94,65.17,Bronze medal
Emanouil Atanassov,BGR,Bulgaria,1988,7,3,0,7,7,7,31,18,93.63,"Silver medal, Special prize"
Dessislava Bakardzieva,BGR,Bulgaria,1988,7,2,7,0,7,0,23,60,77.9,Silver medal
Dobromir Dimitrov,BGR,Bulgaria,1988,7,1,6,7,7,0,28,38,86.14,Silver medal
Plamen Iliev,BGR,Bulgaria,1988,7,0,1,0,7,0,15,113,58.05,Bronze medal
Zvezdelina Stankova,BGR,Bulgaria,1988,7,0,1,7,7,7,29,31,88.76,Silver medal
Emanouil Atanassov,BGR,Bulgaria,1987,3,7,1,7,6,7,31,65,72.88,Bronze medal
Dessislava Bakardzieva,BGR,Bulgaria,1987,7,7,0,1,7,0,22,95,60.17,Bronze medal
Ivaylo Kortezov,BGR,Bulgaria,1987,7,7,7,7,7,6,41,23,90.68,Silver medal
Vladimir B. Mihov,BGR,Bulgaria,1987,7,7,7,7,7,7,42,1,100.0,Gold medal
Dragomir Peykov,BGR,Bulgaria,1987,7,7,7,7,7,5,40,28,88.56,Silver medal
Zvezdelina Stankova,BGR,Bulgaria,1987,7,7,6,7,7,0,34,51,78.81,Silver medal
Ivaylo Kortezov,BGR,Bulgaria,1986,5,0,0,7,7,7,26,54,74.64,Silver medal
Ivaylo Marinov Nedelchev,BGR,Bulgaria,1986,7,7,1,7,3,5,30,30,86.12,Silver medal
Nikolaii B. Mateev,BGR,Bulgaria,1986,2,7,0,1,4,7,21,73,65.55,Bronze medal
Vladimir B. Mihov,BGR,Bulgaria,1986,2,7,0,0,7,7,23,66,68.9,Bronze medal
Dragomir Peykov,BGR,Bulgaria,1986,7,7,1,0,7,5,27,51,76.08,Silver medal
Iliya T. Kraichev,BGR,Bulgaria,1986,7,7,1,5,7,7,34,15,93.3,Gold medal
Nikolai Ivanov Chavdarov,BGR,Bulgaria,1985,7,7,2,7,7,7,37,4,98.56,Gold medal
Vasil Borisov Daskalov,BGR,Bulgaria,1985,7,7,0,7,7,7,35,7,97.12,Gold medal
Ivan Kolev Dimitrov,BGR,Bulgaria,1985,7,7,7,2,2,7,32,15,93.27,Silver medal
Marin Ivanov Marinov,BGR,Bulgaria,1985,7,7,0,3,7,0,24,40,81.25,Silver medal
Ivaylo Marinov Nedelchev,BGR,Bulgaria,1985,7,0,0,2,5,0,14,102,51.44,""
Zvetoslav Alipiev Petrov,BGR,Bulgaria,1985,7,7,1,1,5,2,23,44,79.33,Silver medal
Nikolai Ivanov Chavdarov,BGR,Bulgaria,1984,7,6,2,7,6,7,35,21,89.53,Silver medal
Vasil Borisov Daskalov,BGR,Bulgaria,1984,7,7,7,6,7,7,41,9,95.81,Gold medal
Ivan Kolev Dimitrov,BGR,Bulgaria,1984,7,7,2,7,5,0,28,39,80.1,Silver medal
Marin Ivanov Marinov,BGR,Bulgaria,1984,7,0,0,7,4,2,20,76,60.73,Bronze medal
Diko B. Mihov,BGR,Bulgaria,1984,7,7,7,7,7,7,42,1,100.0,Gold medal
Pavel Tadeev Glasnov,BGR,Bulgaria,1984,7,7,2,7,7,7,37,17,91.62,Silver medal
Ivan Kolev Dimitrov,BGR,Bulgaria,1983,,,,,,,23,47,75.14,Bronze medal
Mihail Jotov,BGR,Bulgaria,1983,,,,,,,18,73,61.08,Bronze medal
Diko B. Mihov,BGR,Bulgaria,1983,,,,,,,36,10,95.14,Silver medal
Isvetan Motev,BGR,Bulgaria,1983,,,,,,,23,47,75.14,Bronze medal
Galia Simeonova,BGR,Bulgaria,1983,,,,,,,14,94,49.73,""
Pavel Tadeev Glasnov,BGR,Bulgaria,1983,,,,,,,23,47,75.14,Bronze medal
Krasimir Georgiev Ianakiev,BGR,Bulgaria,1982,7,2,2,7,7,2,27,40,66.95,Bronze medal
Ivan Gruvdev Todorov,BGR,Bulgaria,1982,7,0,0,7,7,5,26,43,64.41,Bronze medal
Emil Milanov Kolev,BGR,Bulgaria,1982,3,1,6,7,7,5,29,31,74.58,Bronze medal
Alexander Nenov Ivanov,BGR,Bulgaria,1982,7,2,3,7,7,0,26,43,64.41,Bronze medal
Krasimir Georgiev Ianakiev,BGR,Bulgaria,1981,,,,,,,40,37,80.43,Silver medal
Emilia Grigorova Ivanova,BGR,Bulgaria,1981,,,,,,,33,74,60.33,Bronze medal
Georgi Iordanov Vodev,BGR,Bulgaria,1981,7,7,7,7,7,7,42,1,100.0,Gold medal
Dimiter Kostadinov Statelov,BGR,Bulgaria,1981,,,,,,,28,94,49.46,Bronze medal
Emil Milanov Kolev,BGR,Bulgaria,1981,,,,,,,37,50,73.37,Silver medal
Alexander Nenov Ivanov,BGR,Bulgaria,1981,,,,,,,34,72,61.41,Silver medal
Todor Petkov Mitev,BGR,Bulgaria,1981,,,,,,,41,27,85.87,Gold medal
Miroslav Tsanov Iotov,BGR,Bulgaria,1981,,,,,,,32,79,57.61,Bronze medal
Evgeni Belogay,BGR,Bulgaria,1979,0,0,0,6,0,3,9,135,18.79,""
Yuriy Kandilarov,BGR,Bulgaria,1979,0,0,7,6,0,7,20,77,53.94,Bronze medal
Peter Kopanov,BGR,Bulgaria,1979,1,7,0,5,7,3,23,57,66.06,Bronze medal
Nikolay Kumanov,BGR,Bulgaria,1979,6,3,0,4,0,3,16,101,39.39,""
Ivan Simeonov,BGR,Bulgaria,1979,0,7,7,3,0,7,24,52,69.09,Bronze medal
Hristo Staykov,BGR,Bulgaria,1979,1,7,7,6,0,2,23,57,66.06,Bronze medal
Valeri Trifonov,BGR,Bulgaria,1979,0,4,0,4,3,2,13,115,30.91,""
Dimiter Tsvetkov,BGR,Bulgaria,1979,6,0,1,1,7,7,22,66,60.61,Bronze medal
Rusi Jordanov,BGR,Bulgaria,1978,,,,,,,24,35,74.05,Bronze medal
Vladimir Kostov,BGR,Bulgaria,1978,,,,,,,25,32,76.34,Bronze medal
Boris Kovachev,BGR,Bulgaria,1978,,,,,,,21,64,51.91,""
Milena Moskova,BGR,Bulgaria,1978,,,,,,,21,64,51.91,""
Nadezhda Ribarska,BGR,Bulgaria,1978,,,,,,,23,47,64.89,Bronze medal
Stefan Stiochev,BGR,Bulgaria,1978,,,,,,,18,85,35.88,""
Todor Stojanov,BGR,Bulgaria,1978,,,,,,,21,64,51.91,""
Ognjan Trifunov,BGR,Bulgaria,1978,,,,,,,29,17,87.79,Silver medal
Nikolaj Bujukliev,BGR,Bulgaria,1977,,,,,,,30,19,88.31,Silver medal
Rusi Jordanov,BGR,Bulgaria,1977,,,,,,,19,65,58.44,Bronze medal
Borislav Lazarov,BGR,Bulgaria,1977,,,,,,,27,27,83.12,Silver medal
Ivan Pulev,BGR,Bulgaria,1977,,,,,,,16,78,50.0,""
Nadezhda Ribarska,BGR,Bulgaria,1977,,,,,,,13,97,37.66,""
